YMM,Trim,DriveTrain,Class,Longitude,Latitude,Year,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,ReconditionCost,UnitCost,PotentialGross,PrimaryBookValue
2014 Subaru Outback,3.6R Limited,4WD, Sport Utility Vehicles,-123.8016,46.9674,2014,83730.0,18999.0,19896.0,19896.0,19755.0,56.0,1559.2,18294.2,704.8,17960.0
2014 Toyota Prius V,Two,4WD,Mid-Size Wagon,-122.5688,45.6611,2014,83514.0,16111.0,16111.0,28155.0,18098.0,6.0,315.0,12549.06,3561.94,15123.0
2014 Toyota RAV4,Limited,4WD, Sport Utility Vehicles,-123.8095,46.9768,2014,132715.0,16395.0,17995.0,17995.0,21104.8,42.0,1292.41,13482.41,2912.59,13784.0
2014 Toyota Tacoma,PRERUNNER,4WD, Small Pickup Trucks,-123.0815,44.0588,2014,37266.0,22700.0,23990.0,23990.0,21053.5,18.0,1011.6,20651.6,2048.4,20855.0
2015 Audi A3,1.8T PREMIUM PLUS,4WD, Sub-Compact Passenger Car,-122.7711,45.4954,2015,48192.0,17985.0,19990.0,19990.0,17957.0,58.0,1088.99,18164.24,-179.24,16540.0
2015 BMW 3 Series,320I XDRIVE,4WD, Compact Passenger Car,-122.7711,45.4954,2015,54510.0,18990.0,19990.0,19990.0,20590.5333,78.0,1218.34,18593.34,396.66,15320.0
2015 BMW 3 Series,335I,4WD, Compact Passenger Car,-122.7711,45.4954,2015,77057.0,21490.0,25990.0,25990.0,26795.7857,105.0,1502.15,23501.9,-2011.9,20845.0
2015 BMW X5,XDRIVE35I,4WD, Sport Utility Vehicles,-122.7711,45.4954,2015,80164.0,25990.0,29990.0,29990.0,33844.4347,97.0,832.66,27296.66,-1306.66,24484.0
2015 Cadillac SRX,LUXURY COLLECTION,4WD, Sport Utility Vehicles,-117.3979,47.7552,2015,35200.0,24995.0,24995.0,25852.0,26494.5,22.0,681.15,20681.15,4313.85,22824.0
2015 Chevrolet Camaro,LT,4WD, Compact Passenger Car,-122.654,45.5271,2015,58116.0,16490.0,16490.0,16490.0,21147.5,51.0,1125.34,13125.34,3364.66,15375.0
2015 Chevrolet Silverado 1500,LTZ,4WD, Standard Pickup Trucks,-149.8673,61.1381,2015,40118.333333333336,35462.5,24783.333333333332,0.0,35492.6428,104.5,1223.7,32509.59,1473.115,33050.0
2015 Chevrolet Silverado 2500HD,High Country,4WD, Standard Pickup Trucks,-123.8016,46.9674,2015,34852.0,53816.0,53816.0,53816.0,49997.0,2.0,80.0,49640.0,4176.0,51660.0
2015 Chevrolet Silverado 2500HD,LTZ,4WD, Standard Pickup Trucks,-149.866,61.1334,2015,50990.5,42995.0,44295.0,44160.0,37944.0,39.5,1197.37,38947.369999999995,4047.63,38350.0
2015 Chrysler 200,Limited,2WD, Mid-Size Passenger Car,-122.8771,42.3556,2015,24774.0,13985.0,16999.0,13985.0,12244.5416,29.0,640.64,11971.89,2013.11,12189.0
2015 Dodge Challenger,SXT,4WD, Mid-Size Passenger Car,-123.8095,46.9768,2015,29961.0,18954.0,18954.0,18954.0,18086.0,1.0,605.0,15625.0,3329.0,17156.0
2015 Dodge Dart,GT,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2015,58012.0,11995.0,11995.0,13200.0,11997.0,30.0,2696.41,10196.41,1798.59,10580.0
2015 Dodge Dart,SXT,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2015,73110.0,8995.0,8995.0,10416.0,11226.0,40.0,2598.66,8098.66,896.34,7826.0
2015 Dodge Dart,SXT,4WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2015,65731.0,9999.0,10995.0,10995.0,13599.0,23.0,2141.54,8893.14,1105.86,8267.0
